id,location,sub_locality,property_type,estimated_price_per_sqft,demand_level,roi_category,infrastructure_score,zone_type,growth_potential,best_for,remarks
LKO-PROP-10670,Naka Hindola,Naka Hindola - Sector G,Independent House,2425,High,Medium,7.0,Transport Hub,Medium,Hotels|Retail,
LKO-PROP-10671,Sarojini Nagar,Sarojini Nagar - Sector G,Commercial Plot,3603,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10672,Sitapur Road,Sitapur Road - Sector E,Commercial Plot,1183,High,Medium,5.0,Budget,Medium,Kirana|Low-cost Shops,Budget plots widely available
LKO-PROP-10673,Tedhi Pulia Area,Tedhi Pulia Area - Phase 3,2BHK Apartment,3711,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10674,MG Road,MG Road - Inner Circle,1BHK Apartment,3440,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10675,Alamnagar Extension,Alamnagar Extension - Sector J,1BHK Apartment,3706,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10676,Nawabganj,Nawabganj - Phase 2,2BHK Apartment,3020,Medium,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10677,DLF Extension Area,DLF Extension Area - Sector A,1BHK Apartment,3547,Medium,High,8.0,Planned,Medium,Residential,
LKO-PROP-10678,Faizabad Road,Faizabad Road - Phase 3,Warehouse space,1868,High,High,8.0,Growth,High,Mixed Business,Growth corridor affordable plots
LKO-PROP-10679,Sarojini Nagar Phase 2,Sarojini Nagar Phase 2 - Phase 3,Residential Plot,3077,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10680,Sitapur Road,Sitapur Road - Sector F,Independent House,1545,High,Medium,5.0,Budget,Medium,Kirana|Low-cost Shops,Budget plots widely available
LKO-PROP-10681,Riverfront Extension,Riverfront Extension - Inner Circle,Independent House,2585,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10682,Nishatganj Extension,Nishatganj Extension - Sector B,3BHK Apartment,3078,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10683,Mohanlalganj,Mohanlalganj - Sector G,Retail Shop,1811,Low,High,5.0,Outer Growth,High,Long-term Investment,Outer area large plots
LKO-PROP-10684,Malhaur Extension,Malhaur Extension - Phase 2,Independent House,3135,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10685,Husainabad,Husainabad - Phase 4,2BHK Apartment,2614,High,Medium,7.0,Old City,Medium,Food|Tourism Business,
LKO-PROP-10686,MG Road,MG Road - Phase 4,Warehouse space,2834,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10687,Faizabad Road,Faizabad Road - Sector F,1BHK Apartment,2297,High,High,8.0,Growth,High,Mixed Business,Growth corridor affordable plots
LKO-PROP-10688,Vibhuti Khand,Vibhuti Khand - Phase 2,Warehouse space,3590,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10689,Cantt Area,Cantt Area - Sector I,3BHK Apartment,3380,High,Medium,9.0,Premium,Medium,Offices|Housing,
LKO-PROP-10690,Yahiyaganj,Yahiyaganj - Sector C,2BHK Apartment,3565,High,Medium,7.0,Commercial,Medium,Wholesale Trade,
LKO-PROP-10691,Chowk,Chowk - Sector F,1BHK Apartment,3599,High,Medium,7.0,Old Commercial,Medium,Traditional Business,
LKO-PROP-10692,Hardoi Road,Hardoi Road - Phase 2,Commercial Plot,2564,Medium,Medium,6.0,Developing,Medium,Transport Business,
LKO-PROP-10693,Kalyanpur Extension,Kalyanpur Extension - Sector I,Retail Shop,2923,High,High,6.0,Growth,Medium,Local Shops,
LKO-PROP-10694,Chinhat Extension Phase 2,Chinhat Extension Phase 2 - Sector A,2BHK Apartment,3187,High,High,7.0,Growth,Medium,Shops,
LKO-PROP-10695,Vikas Nagar,Vikas Nagar - Phase 4,Independent House,5112,Medium,Low,7.0,Premium,Low,Residential,Premium limited supply
LKO-PROP-10696,Ashiyana,Ashiyana - Sector H,Warehouse space,2870,Medium,Medium,7.0,Residential,Medium,Residential Business,
LKO-PROP-10697,Matiyari Extension,Matiyari Extension - Sector F,Commercial Plot,3311,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10698,Kapoorthala,Kapoorthala - Sector D,Residential Plot,3232,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10699,MG Road,MG Road - Sector I,Independent House,3882,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10700,Hardoi Bypass,Hardoi Bypass - Sector H,3BHK Apartment,2999,Low,High,6.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10701,Chowk,Chowk - Sector B,2BHK Apartment,2732,High,Medium,7.0,Old Commercial,Medium,Traditional Business,
LKO-PROP-10702,Tiwariganj Extension,Tiwariganj Extension - Sector D,Warehouse space,2560,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10703,Amausi Extension,Amausi Extension - Phase 3,3BHK Apartment,2861,Medium,High,7.0,Growth,Medium,Industrial,
LKO-PROP-10704,Bijnor Extension,Bijnor Extension - Sector G,Independent House,2942,Medium,High,7.0,Industrial Growth,Medium,Logistics,
LKO-PROP-10705,Uattardhona,Uattardhona - Sector I,Retail Shop,3105,Medium,High,7.0,Growth,Medium,Residential Projects,
LKO-PROP-10706,Vibhuti Khand,Vibhuti Khand - Sector H,1BHK Apartment,2769,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10707,Eldeco Greens,Eldeco Greens - Sector H,Residential Plot,2826,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10708,Patrakarpuram Extension,Patrakarpuram Extension - Sector A,Retail Shop,3713,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10709,Chinhat Extension Phase 3,Chinhat Extension Phase 3 - Sector I,1BHK Apartment,2877,High,High,7.0,Growth,Medium,Investment,
LKO-PROP-10710,Shaheed Path,Shaheed Path - Phase 1,Commercial Plot,6258,High,High,10.0,Premium Growth,High,Corporate Offices,Premium fast developing corridor
LKO-PROP-10711,Vikas Nagar,Vikas Nagar - Sector E,3BHK Apartment,5658,Medium,Low,7.0,Premium,Low,Residential,Premium limited supply
LKO-PROP-10712,Anora Extension,Anora Extension - Sector B,Independent House,2492,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10713,Kapoorthala,Kapoorthala - Sector F,1BHK Apartment,3573,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10714,Indiranagar Sector 14,Indiranagar Sector 14 - Main Road,1BHK Apartment,2868,High,Medium,8.0,Premium,Medium,Clinics|Shops,
LKO-PROP-10715,Dubagga,Dubagga - Phase 3,Residential Plot,3394,Medium,Medium,5.0,Developing,Medium,Small Business,
LKO-PROP-10716,Shaheed Path,Shaheed Path - Phase 2,Residential Plot,7176,High,High,10.0,Premium Growth,High,Corporate Offices,Premium fast developing corridor
LKO-PROP-10717,MG Road,MG Road - Sector G,1BHK Apartment,3621,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10718,Jankipuram Extension,Jankipuram Extension - Sector F,Independent House,3138,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10719,Sapru Marg,Sapru Marg - Sector C,Independent House,2805,Very High,Medium,10.0,Commercial Core,Medium,Corporate Offices,
LKO-PROP-10720,Riverfront Extension Area,Riverfront Extension Area - Sector A,1BHK Apartment,2875,High,High,10.0,Premium,Medium,Tourism|Retail,
LKO-PROP-10721,Ansal API Area,Ansal API Area - Sector C,1BHK Apartment,3527,Medium,High,8.0,Planned Growth,Medium,Investment,
LKO-PROP-10722,Dilkusha,Dilkusha - Phase 4,2BHK Apartment,2598,Medium,Low,9.0,Premium,Medium,Residential,
LKO-PROP-10723,La Martiniere Area,La Martiniere Area - Sector I,Retail Shop,3868,High,Medium,9.0,Premium,Medium,Schools|Institutions,
LKO-PROP-10724,Hardoi Bypass,Hardoi Bypass - Phase 5,Commercial Plot,3338,Low,High,6.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10725,Kanpur Road,Kanpur Road - Sector G,Residential Plot,1973,Medium,Medium,7.0,Developing,Medium,Transport Business,Good connectivity near airport
LKO-PROP-10726,Chowk,Chowk - Phase 2,3BHK Apartment,3009,High,Medium,7.0,Old Commercial,Medium,Traditional Business,
LKO-PROP-10727,Malhaur,Malhaur - Phase 1,2BHK Apartment,2881,Medium,High,7.0,Growth,High,Residential|Retail,Near Gomti Nagar extension
LKO-PROP-10728,Outer Ring Road,Outer Ring Road - Sector C,Warehouse space,2658,Low,High,7.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10729,Sapru Marg,Sapru Marg - Phase 5,Independent House,3753,Very High,Medium,10.0,Commercial Core,Medium,Corporate Offices,
LKO-PROP-10730,Dilkusha Garden Area,Dilkusha Garden Area - Phase 4,Commercial Plot,3859,Medium,Low,9.0,Premium,Medium,Housing,
LKO-PROP-10731,Uattardhona,Uattardhona - Extension,Retail Shop,3458,Medium,High,7.0,Growth,Medium,Residential Projects,
LKO-PROP-10732,Chinhat,Chinhat - Phase 2,Retail Shop,3275,High,High,7.0,Growth,High,Shops|Cloud Kitchen,
LKO-PROP-10733,Indiranagar Sector 20,Indiranagar Sector 20 - Sector H,3BHK Apartment,2948,High,Medium,8.0,Premium,Medium,Residential Business,
LKO-PROP-10734,Deva Road,Deva Road - Phase 5,Warehouse space,3127,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10735,Raebareli Road,Raebareli Road - Sector G,Residential Plot,1673,Medium,Medium,6.0,Developing,Medium,Warehousing,Developing outskirts
LKO-PROP-10736,Ring Road Area,Ring Road Area - Phase 2,1BHK Apartment,2835,Medium,High,8.0,Growth,Medium,Investment,
LKO-PROP-10737,Kapoorthala,Kapoorthala - Sector B,1BHK Apartment,3521,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10738,Tedhi Pulia Area,Tedhi Pulia Area - Main Road,Warehouse space,3212,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10739,Kursi Road,Kursi Road - Sector B,Residential Plot,1735,High,High,6.0,Budget Growth,Medium-High,Small Business,Affordable mid-range zone
LKO-PROP-10740,Ansal Sushant,Ansal Sushant - Phase 3,Residential Plot,3480,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10741,Gosainganj,Gosainganj - Phase 1,1BHK Apartment,3129,Low,High,5.0,Outer Growth,Medium,Industrial|Farming,
LKO-PROP-10742,Janeshwar Mishra Park Area,Janeshwar Mishra Park Area - Sector I,Commercial Plot,3055,High,High,9.0,Premium,Medium,Commercial|Tourism,
LKO-PROP-10743,Uattardhona,Uattardhona - Sector D,2BHK Apartment,3103,Medium,High,7.0,Growth,Medium,Residential Projects,
LKO-PROP-10744,Jankipuram,Jankipuram - Sector F,1BHK Apartment,2261,High,Medium,6.0,Residential,Medium,Local Shops,Residential demand steady
LKO-PROP-10745,DLF Garden City Area,DLF Garden City Area - Sector B,Retail Shop,2981,Medium,High,8.0,Planned,Medium,Residential|Investment,
LKO-PROP-10746,South City Extension,South City Extension - Phase 4,3BHK Apartment,3290,Medium,Medium,7.0,Planned,Medium,Housing,
LKO-PROP-10747,Ansal Sushant Area,Ansal Sushant Area - Sector D,Warehouse space,3387,Medium,High,8.0,Planned Growth,Medium,Residential|Retail,
LKO-PROP-10748,Omaxe Residency,Omaxe Residency - Phase 1,Independent House,2807,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10749,Tiwariganj,Tiwariganj - Phase 4,Warehouse space,2627,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10750,Vibhuti Khand Extension,Vibhuti Khand Extension - Phase 3,Independent House,3444,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10751,Gaurabagh,Gaurabagh - Sector J,3BHK Apartment,3336,Low,Medium,5.0,Outer Growth,Medium,Low-cost Setup,
LKO-PROP-10752,Ashiyana,Ashiyana - Main Road,Independent House,2402,Medium,Medium,7.0,Residential,Medium,Residential Business,
LKO-PROP-10753,Airport Road,Airport Road - Sector A,Residential Plot,2493,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10754,Indiranagar Sector 14,Indiranagar Sector 14 - Sector J,Independent House,3602,High,Medium,8.0,Premium,Medium,Clinics|Shops,
LKO-PROP-10755,Kanpur Road Extension,Kanpur Road Extension - Sector F,1BHK Apartment,2755,Medium,Medium,7.0,Developing,Medium,Transport,
LKO-PROP-10756,Raebareli Bypass,Raebareli Bypass - Inner Circle,Commercial Plot,2641,Low,High,6.0,Outer Growth,Medium,Industrial,
LKO-PROP-10757,Matiyari Extension,Matiyari Extension - Phase 2,3BHK Apartment,2947,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10758,Gomti Nagar Phase 2,Gomti Nagar Phase 2 - Sector G,Warehouse space,3161,High,Medium,9.0,Premium,Medium,Residential,
LKO-PROP-10759,Gaurabagh,Gaurabagh - Phase 3,1BHK Apartment,3679,Low,Medium,5.0,Outer Growth,Medium,Low-cost Setup,
LKO-PROP-10760,Eldeco Udyan,Eldeco Udyan - Sector B,Retail Shop,3121,Medium,Medium,7.0,Planned,Medium,Residential,
LKO-PROP-10761,Lucknow Airport Zone,Lucknow Airport Zone - Phase 1,Independent House,2899,High,High,9.0,Airport Zone,Medium,Hotels|Logistics,
LKO-PROP-10762,Naka Hindola,Naka Hindola - Inner Circle,1BHK Apartment,2954,High,Medium,7.0,Transport Hub,Medium,Hotels|Retail,
LKO-PROP-10763,Mohanlalganj,Mohanlalganj - Sector I,2BHK Apartment,1891,Low,High,5.0,Outer Growth,High,Long-term Investment,Outer area large plots
LKO-PROP-10764,Patrakarpuram Extension,Patrakarpuram Extension - Sector B,Independent House,3570,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10765,Bijnor Road,Bijnor Road - Sector B,1BHK Apartment,2447,Medium,High,7.0,Industrial Growth,High,Logistics|Airport Business,Airport side growth
LKO-PROP-10766,Safedabad Extension,Safedabad Extension - Sector C,Warehouse space,2664,Medium,High,7.0,Growth,Medium,Expansion,
LKO-PROP-10767,Daliganj Extension,Daliganj Extension - Phase 2,Warehouse space,3283,High,Medium,7.0,Central,Medium,Retail|Offices,
LKO-PROP-10768,South City Extension,South City Extension - Sector E,3BHK Apartment,3370,Medium,Medium,7.0,Planned,Medium,Housing,
LKO-PROP-10769,Sarojini Nagar Phase 3,Sarojini Nagar Phase 3 - Sector D,Commercial Plot,3498,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10770,Alamnagar Extension,Alamnagar Extension - Phase 3,2BHK Apartment,3658,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10771,Kapoorthala,Kapoorthala - Sector D,2BHK Apartment,2866,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10772,Nishatganj,Nishatganj - Sector I,Warehouse space,3122,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10773,Ashiyana,Ashiyana - Inner Circle,Independent House,3355,Medium,Medium,7.0,Residential,Medium,Residential Business,
LKO-PROP-10774,Nishatganj,Nishatganj - Phase 2,Residential Plot,3412,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10775,Lucknow Airport Zone,Lucknow Airport Zone - Sector G,2BHK Apartment,3222,High,High,9.0,Airport Zone,Medium,Hotels|Logistics,
LKO-PROP-10776,Gomti Nagar Phase 2,Gomti Nagar Phase 2 - Phase 4,Warehouse space,2940,High,Medium,9.0,Premium,Medium,Residential,
LKO-PROP-10777,Airport Road,Airport Road - Sector G,3BHK Apartment,2684,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10778,Ismailganj,Ismailganj - Phase 3,1BHK Apartment,2583,Medium,Medium,6.0,Developing,Medium,Residential,
LKO-PROP-10779,Deva Road,Deva Road - Phase 1,2BHK Apartment,2946,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10780,Raebareli Road Extension,Raebareli Road Extension - Phase 5,1BHK Apartment,3128,Medium,Medium,6.0,Developing,Medium,Warehousing,
LKO-PROP-10781,Deva Road Extension,Deva Road Extension - Sector B,Retail Shop,3088,Medium,High,7.0,Growth,Medium,Residential Growth,
LKO-PROP-10782,Jankipuram,Jankipuram - Sector D,Independent House,2031,High,Medium,6.0,Residential,Medium,Local Shops,Residential demand steady
LKO-PROP-10783,Daliganj Extension,Daliganj Extension - Phase 4,2BHK Apartment,3381,High,Medium,7.0,Central,Medium,Retail|Offices,
LKO-PROP-10784,Sarojini Nagar,Sarojini Nagar - Sector A,3BHK Apartment,3730,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10785,Sultanpur Road,Sultanpur Road - Sector G,Residential Plot,2236,Medium,High,9.0,Growth,High,Warehousing|Expansion,Emerging area strong growth
LKO-PROP-10786,Gomti Nagar Extension,Gomti Nagar Extension - Sector J,1BHK Apartment,2931,High,High,8.0,Growth,Medium,Investment|Startups,
LKO-PROP-10787,Alamnagar Extension,Alamnagar Extension - Phase 2,1BHK Apartment,2665,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10788,Shaheed Path,Shaheed Path - Phase 4,1BHK Apartment,7429,High,High,10.0,Premium Growth,High,Corporate Offices,Premium fast developing corridor
LKO-PROP-10789,Gomti Nagar Phase 3,Gomti Nagar Phase 3 - Extension,Retail Shop,2924,High,Medium,9.0,Premium,Medium,Offices,
LKO-PROP-10790,Riverfront Extension,Riverfront Extension - Sector A,1BHK Apartment,3376,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10791,Eldeco Udyan,Eldeco Udyan - Sector E,Independent House,2954,Medium,Medium,7.0,Planned,Medium,Residential,
LKO-PROP-10792,Takrohi,Takrohi - Phase 2,3BHK Apartment,3062,Medium,Medium,6.0,Residential,Medium,Shops|Services,
LKO-PROP-10793,Chinhat,Chinhat - Sector G,Warehouse space,3544,High,High,7.0,Growth,High,Shops|Cloud Kitchen,
LKO-PROP-10794,Alambagh,Alambagh - Sector B,Commercial Plot,3892,High,Medium,8.0,Developed,Low-Medium,Retail|Transport,
LKO-PROP-10795,Vineet Khand,Vineet Khand - Phase 3,2BHK Apartment,3142,High,High,9.0,Premium,Medium,Luxury Residential,
LKO-PROP-10796,Mohanlalganj,Mohanlalganj - Phase 2,Warehouse space,1637,Low,High,5.0,Outer Growth,High,Long-term Investment,Outer area large plots
LKO-PROP-10797,Kathauta Extension,Kathauta Extension - Sector J,Retail Shop,2614,High,Medium,9.0,Premium,Medium,Cafes,
LKO-PROP-10798,Kalyanpur,Kalyanpur - Sector F,Commercial Plot,2707,High,Medium,6.0,Residential,Medium,Local Business,
LKO-PROP-10799,Ansal API Area,Ansal API Area - Phase 5,Independent House,3172,Medium,High,8.0,Planned Growth,Medium,Investment,
LKO-PROP-10800,DLF Garden City,DLF Garden City - Extension,3BHK Apartment,3713,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10801,Transport Nagar Extension,Transport Nagar Extension - Sector B,3BHK Apartment,3882,Medium,Medium,8.0,Industrial,Medium,Logistics,
LKO-PROP-10802,Transport Nagar,Transport Nagar - Sector F,Residential Plot,2643,Medium,High,7.0,Industrial,Medium,Logistics|Transport,
LKO-PROP-10803,Gomti Nagar Extension,Gomti Nagar Extension - Sector D,Retail Shop,3499,High,High,8.0,Growth,Medium,Investment|Startups,
LKO-PROP-10804,MG Road,MG Road - Phase 1,Retail Shop,3262,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10805,Chinhat,Chinhat - Sector J,Independent House,2905,High,High,7.0,Growth,High,Shops|Cloud Kitchen,
LKO-PROP-10806,Dubagga,Dubagga - Sector B,3BHK Apartment,3281,Medium,Medium,5.0,Developing,Medium,Small Business,
LKO-PROP-10807,Kursi Road,Kursi Road - Phase 1,Commercial Plot,1595,High,High,6.0,Budget Growth,Medium-High,Small Business,Affordable mid-range zone
LKO-PROP-10808,Kukrail,Kukrail - Phase 4,Residential Plot,3020,Medium,High,7.0,Growth,Medium,Residential Expansion,
LKO-PROP-10809,Chowk,Chowk - Sector A,2BHK Apartment,3687,High,Medium,7.0,Old Commercial,Medium,Traditional Business,
LKO-PROP-10810,La Martiniere Area,La Martiniere Area - Sector J,3BHK Apartment,3363,High,Medium,9.0,Premium,Medium,Schools|Institutions,
LKO-PROP-10811,Malhaur,Malhaur - Sector H,3BHK Apartment,3181,Medium,High,7.0,Growth,High,Residential|Retail,Near Gomti Nagar extension
LKO-PROP-10812,Hardoi Bypass,Hardoi Bypass - Sector F,1BHK Apartment,2449,Low,High,6.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10813,Riverfront Extension Area,Riverfront Extension Area - Sector D,Commercial Plot,2453,High,High,10.0,Premium,Medium,Tourism|Retail,
LKO-PROP-10814,Matiyari Extension,Matiyari Extension - Sector A,Residential Plot,3725,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10815,Gomti Nagar Phase 3,Gomti Nagar Phase 3 - Sector G,1BHK Apartment,3155,High,Medium,9.0,Premium,Medium,Offices,
LKO-PROP-10816,Paper Mill Colony,Paper Mill Colony - Phase 1,1BHK Apartment,3894,Medium,Medium,7.0,Residential,Medium,Housing,
LKO-PROP-10817,Transport Nagar,Transport Nagar - Phase 4,Commercial Plot,3123,Medium,High,7.0,Industrial,Medium,Logistics|Transport,
LKO-PROP-10818,Kanpur Road Extension,Kanpur Road Extension - Sector J,Retail Shop,3297,Medium,Medium,7.0,Developing,Medium,Transport,
LKO-PROP-10819,Vikas Nagar,Vikas Nagar - Extension,Retail Shop,4279,Medium,Low,7.0,Premium,Low,Residential,Premium limited supply
LKO-PROP-10820,Saadatganj,Saadatganj - Phase 3,3BHK Apartment,3761,Medium,Medium,6.0,Old City,Medium,Residential Shops,
LKO-PROP-10821,Rajendra Nagar,Rajendra Nagar - Main Road,2BHK Apartment,3772,High,Medium,7.0,Residential,Medium,Local Shops,
LKO-PROP-10822,Alambagh,Alambagh - Extension,Warehouse space,3260,High,Medium,8.0,Developed,Low-Medium,Retail|Transport,
LKO-PROP-10823,Kapoorthala,Kapoorthala - Sector G,Warehouse space,3685,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10824,Rakabganj,Rakabganj - Sector C,Residential Plot,2491,High,Medium,7.0,Commercial,Medium,Retail,
LKO-PROP-10825,Balaganj,Balaganj - Sector A,Warehouse space,3451,Medium,Medium,5.0,Old City,Medium,Traditional Business,
LKO-PROP-10826,DLF Garden City Area,DLF Garden City Area - Inner Circle,Warehouse space,3165,Medium,High,8.0,Planned,Medium,Residential|Investment,
LKO-PROP-10827,DLF Extension Area,DLF Extension Area - Phase 3,Retail Shop,2482,Medium,High,8.0,Planned,Medium,Residential,
LKO-PROP-10828,Eldeco Udyan,Eldeco Udyan - Sector C,1BHK Apartment,2621,Medium,Medium,7.0,Planned,Medium,Residential,
LKO-PROP-10829,Sapru Marg,Sapru Marg - Sector G,Commercial Plot,2712,Very High,Medium,10.0,Commercial Core,Medium,Corporate Offices,
LKO-PROP-10830,MG Road,MG Road - Sector J,Commercial Plot,3252,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10831,Chinhat Extension Phase 2,Chinhat Extension Phase 2 - Sector J,2BHK Apartment,2430,High,High,7.0,Growth,Medium,Shops,
LKO-PROP-10832,Alamnagar Extension,Alamnagar Extension - Main Road,Commercial Plot,3837,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10833,Mawaiyya,Mawaiyya - Sector E,Warehouse space,3455,Medium,Medium,7.0,Developing,Medium,Residential Business,
LKO-PROP-10834,Nawabganj,Nawabganj - Sector E,Retail Shop,3139,Medium,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10835,Gomti Nagar Extension,Gomti Nagar Extension - Phase 1,Independent House,3091,High,High,8.0,Growth,Medium,Investment|Startups,
LKO-PROP-10836,Rajendra Nagar,Rajendra Nagar - Sector D,Residential Plot,3259,High,Medium,7.0,Residential,Medium,Local Shops,
LKO-PROP-10837,Ring Road Area,Ring Road Area - Sector D,Retail Shop,2995,Medium,High,8.0,Growth,Medium,Investment,
LKO-PROP-10838,Malhaur,Malhaur - Sector J,3BHK Apartment,3655,Medium,High,7.0,Growth,High,Residential|Retail,Near Gomti Nagar extension
LKO-PROP-10839,Sitapur Road,Sitapur Road - Sector B,1BHK Apartment,1141,High,Medium,5.0,Budget,Medium,Kirana|Low-cost Shops,Budget plots widely available
LKO-PROP-10840,Amar Shaheed Path,Amar Shaheed Path - Sector G,Commercial Plot,2985,Medium,Medium,6.0,Residential,Medium,Mixed Use,High-end infrastructure zone
LKO-PROP-10841,Alamnagar Extension,Alamnagar Extension - Phase 5,Commercial Plot,2576,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10842,Mohanlalganj,Mohanlalganj - Sector E,Independent House,1824,Low,High,5.0,Outer Growth,High,Long-term Investment,Outer area large plots
LKO-PROP-10843,IIM Road,IIM Road - Phase 3,Retail Shop,1636,Medium,Medium,6.0,Residential,High,Mixed Use,High growth (recent surge)
LKO-PROP-10844,Nishatganj Extension,Nishatganj Extension - Sector J,Commercial Plot,3003,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10845,Patrakarpuram Extension,Patrakarpuram Extension - Sector E,Warehouse space,2545,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10846,La Martiniere Area,La Martiniere Area - Phase 3,3BHK Apartment,2922,High,Medium,9.0,Premium,Medium,Schools|Institutions,
LKO-PROP-10847,Aminabad,Aminabad - Phase 1,Independent House,2879,Very High,Medium,8.0,Commercial Core,Medium,Clothing|Retail,
LKO-PROP-10848,South City Extension,South City Extension - Sector B,Commercial Plot,3389,Medium,Medium,7.0,Planned,Medium,Housing,
LKO-PROP-10849,Bakshi Ka Talab,Bakshi Ka Talab - Inner Circle,Retail Shop,3553,Medium,High,6.0,Growth,Medium,Warehousing,
LKO-PROP-10850,IIM Road,IIM Road - Main Road,Residential Plot,1382,Medium,Medium,6.0,Residential,High,Mixed Use,High growth (recent surge)
LKO-PROP-10851,Kathauta Lake Area,Kathauta Lake Area - Sector A,Independent House,2566,High,Medium,9.0,Premium,Medium,Cafes|Restaurants,
LKO-PROP-10852,Omaxe Residency Area,Omaxe Residency Area - Sector G,3BHK Apartment,2918,Medium,Medium,8.0,Planned,Medium,Residential,
LKO-PROP-10853,Bijnor Extension,Bijnor Extension - Sector F,Independent House,2499,Medium,High,7.0,Industrial Growth,Medium,Logistics,
LKO-PROP-10854,Anora Extension,Anora Extension - Phase 1,3BHK Apartment,2484,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10855,South City,South City - Sector J,Independent House,3853,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10856,IIM Road,IIM Road - Phase 3,1BHK Apartment,1911,Medium,Medium,6.0,Residential,High,Mixed Use,High growth (recent surge)
LKO-PROP-10857,Sarojini Nagar Phase 2,Sarojini Nagar Phase 2 - Sector D,Retail Shop,3662,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10858,Transport Nagar Extension,Transport Nagar Extension - Extension,2BHK Apartment,3417,Medium,Medium,8.0,Industrial,Medium,Logistics,
LKO-PROP-10859,Kapoorthala,Kapoorthala - Sector D,1BHK Apartment,3582,High,Medium,8.0,Commercial,Medium,Shops|Retail,
LKO-PROP-10860,Eldeco Greens,Eldeco Greens - Sector B,Commercial Plot,3407,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10861,Airport Road Extension,Airport Road Extension - Phase 2,3BHK Apartment,3643,Medium,High,8.0,Growth,Medium,Investment,
